REALCURRENTTIME;CORE_TEMP;CORE_IODINE_CUMULATIVE;CORE_XENON_CUMULATIVE;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
483001;322.9405;7.659774;0;75;75
484000;323.1692;7.659774;0;75;75
485000;323.1692;7.659774;0;75;75
486000;323.4079;7.659774;0;75;75
487000;323.0966;7.659774;0;75;75
488001;323.4852;7.822715;0;75;75
489000;323.6839;7.822715;0;75;75
490001;323.6839;7.822715;0;75;75
491001;323.9026;7.822715;0;75;75
492001;323.8914;7.822715;0;75;75
493001;324.1201;7.822715;0;75;75
494001;324.1201;7.822715;0;75;75
495001;324.349;7.822715;0;75;75
496000;324.338;7.822715;0;75;75
497001;324.2669;7.822715;0;75;75
498001;324.536;7.985484;0;75;75
499000;324.536;7.985484;0;75;75
500001;324.7753;7.985484;0;75;75
501001;324.7646;7.985484;0;75;75
502000;324.9939;7.985484;0;75;75
503000;324.9833;7.985484;0;75;75
504000;325.2126;7.985484;0;75;75
505000;325.2022;7.985484;0;75;75
506001;325.4315;7.985484;0;75;75
507001;325.4315;7.985484;0;75;75
508000;325.3211;8.147751;0;75;75
509000;325.5708;8.147751;0;75;75
510000;325.5708;8.147751;0;75;75
511000;325.5708;8.147751;0;75;75
512001;325.5708;8.147751;0;75;75
513000;325.5611;8.147751;0;75;75
514000;325.5513;8.147751;0;75;75
515000;325.5513;8.147751;0;75;75
516001;325.5513;8.147751;0;75;75
517001;325.5513;8.147751;0;75;75
518001;325.2417;8.30721;0;75;75
519001;325.552;8.30721;0;75;75
520001;325.5425;8.30721;0;75;75
521000;325.533;8.30721;0;75;75
522000;325.533;8.30721;0;75;75
523001;325.533;8.30721;0;75;75
524001;325.533;8.30721;0;75;75
525001;325.5235;8.30721;0;75;75
526000;325.514;8.30721;0;75;75
527001;325.2046;8.30721;0;75;75
528000;325.5352;8.469467;0;75;75
529000;325.5352;8.469467;0;75;75
530001;325.5352;8.469467;0;75;75
531000;325.5352;8.469467;0;75;75
532000;325.5258;8.469467;0;75;75
533000;325.5258;8.469467;0;75;75
534001;325.5258;8.469467;0;75;75
535001;325.5165;8.469467;0;75;75
536000;325.5072;8.469467;0;75;75
537000;325.1978;8.469467;0;75;75
538000;325.5285;8.631553;0;75;75
539001;325.5285;8.631553;0;75;75
540000;325.5191;8.631553;0;75;75
541000;325.5097;8.631553;0;75;75
542000;325.5003;8.631553;0;75;75
543000;325.5003;8.631553;0;75;75
544000;325.5003;8.631553;0;75;75
545000;325.4909;8.631553;0;75;75
546001;325.6814;8.631553;0;75;75
547001;325.6814;8.631553;0;75;75
548001;325.6814;8.793468;0;75;75
549000;325.8819;8.793468;0;75;75
550001;325.8722;8.793468;0;75;75
551000;326.0825;8.793468;0;75;75
552000;326.0825;8.793468;0;75;75
553000;326.2827;8.793468;0;75;75
554000;326.273;8.793468;0;75;75
555001;326.4832;8.793468;0;75;75
556001;326.4832;8.793468;0;75;75
557001;326.4832;8.793468;0;75;75
558001;326.1736;8.955213;0;75;75
559000;326.4341;8.955213;0;75;75
560000;326.4341;8.955213;0;75;75
561001;326.4248;8.955213;0;75;75
562001;326.4248;8.955213;0;75;75
563000;326.4248;8.955213;0;75;75
564001;326.4248;8.955213;0;75;75
565000;326.4155;8.955213;0;75;75
566001;326.4061;8.955213;0;75;75
567001;326.4061;8.955213;0;75;75
568000;326.4061;9.116785;0;75;75
569000;326.4061;9.116785;0;75;75
570001;326.3968;9.116785;0;75;75
571000;326.3968;9.116785;0;75;75
572001;326.3875;9.116785;0;75;75
573001;326.3783;9.116785;0;75;75
574001;326.3783;9.116785;0;75;75
575001;326.3783;9.116785;0;75;75
576001;326.3783;9.116785;0;75;75
577000;326.069;9.116785;0;75;75
578001;326.3797;9.278189;0;75;75
579000;326.3705;9.278189;0;75;75
580001;326.3613;9.278189;0;75;75
581001;326.3613;9.278189;0;75;75
582001;326.3613;9.278189;0;75;75
583001;326.352;9.278189;0;75;75
584001;326.352;9.278189;0;75;75
585001;326.3427;9.278189;0;75;75
586001;326.3427;9.278189;0;75;75
587001;326.3427;9.278189;0;75;75
588001;326.3427;9.439422;0;75;75
589001;326.3427;9.439422;0;75;75
590000;326.3427;9.439422;0;75;75
591001;326.3335;9.439422;0;75;75
592000;326.3243;9.439422;0;75;75
593000;326.3152;9.439422;0;75;75
594000;326.3152;9.439422;0;75;75
595000;326.3152;9.439422;0;75;75
596001;326.3152;9.439422;0;75;75
597000;326.0059;9.439422;0;75;75
598001;326.3466;9.600484;0;75;75
599000;326.3466;9.600484;0;75;75
600001;326.3466;9.600484;0;75;75
601000;326.3466;9.600484;0;75;75
602000;326.3466;9.600484;0;75;75
603000;326.3373;9.600484;0;75;75
604000;326.3282;9.600484;0;75;75
605000;326.3191;9.600484;0;75;75
606000;326.3191;9.600484;0;75;75
607000;326.3191;9.600484;0;75;75
608001;326.3191;9.761377;0;75;75
609000;326.3191;9.761377;0;75;75
610000;326.3191;9.761377;0;75;75
611000;326.31;9.761377;0;75;75
612001;326.3009;9.761377;0;75;75
613000;326.4918;9.761377;0;75;75
614001;326.4918;9.761377;0;75;75
615001;326.4918;9.761377;0;75;75
616001;326.4918;9.761377;0;75;75
617000;326.4918;9.761377;0;75;75
618000;326.1829;9.9221;0;75;75
619000;326.4241;9.9221;0;75;75
620000;326.4154;9.9221;0;75;75
621001;326.4154;9.9221;0;75;75
