REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
214500;241.3139;75;75
214800;241.95;75;75
215100;241.95;75;75
215400;241.95;75;75
215700;241.95;75;75
216000;242.5762;75;75
216300;242.5762;75;75
216600;242.5762;75;75
216900;243.2024;75;75
217200;243.2024;75;75
217500;243.2024;75;75
217800;243.8286;75;75
218100;243.8286;75;75
218400;243.8286;75;75
218700;243.8286;75;75
219000;244.4449;75;75
219300;244.4449;75;75
219599;244.4449;75;75
219900;245.0712;75;75
220200;245.0712;75;75
220500;245.0712;75;75
220800;245.6874;75;75
221100;245.6874;75;75
221400;245.6874;75;75
221700;245.6874;75;75
222000;246.2938;75;75
222300;246.2938;75;75
222600;246.2938;75;75
222900;246.9001;75;75
223200;246.9001;75;75
223500;246.9001;75;75
223800;247.5065;75;75
224100;247.5065;75;75
224400;247.5065;75;75
224700;247.5065;75;75
225000;248.1029;75;75
225300;248.1029;75;75
225600;248.1029;75;75
225900;248.6993;75;75
226200;248.6993;75;75
226500;248.6993;75;75
226800;249.2958;75;75
227100;249.2958;75;75
227401;249.2958;75;75
227700;249.2958;75;75
227999;249.8922;75;75
228300;249.8922;75;75
228600;249.8922;75;75
228900;250.4787;75;75
229200;250.4787;75;75
229500;250.4787;75;75
229800;251.0652;75;75
230100;251.0652;75;75
230400;251.0652;75;75
230700;251.0652;75;75
231000;251.6517;75;75
231300;251.6517;75;75
231600;251.6517;75;75
231900;252.2283;75;75
232200;252.2283;75;75
232500;252.2283;75;75
232800;252.8049;75;75
233100;252.8049;75;75
233400;252.8049;75;75
233700;252.8049;75;75
234000;253.3815;75;75
234300;253.3815;75;75
234600;253.3815;75;75
234900;253.9481;75;75
235200;253.9481;75;75
235500;253.9481;75;75
235800;254.5147;75;75
236100;254.5147;75;75
236400;254.5147;75;75
236700;254.5147;75;75
237000;255.0814;75;75
237300;255.0814;75;75
237600;255.0814;75;75
237900;255.638;75;75
238200;255.638;75;75
238500;255.638;75;75
238800;256.1947;75;75
239100;256.1947;75;75
239400;256.1947;75;75
239700;256.1947;75;75
240000;256.7514;75;75
240300;256.7514;75;75
240600;256.7514;75;75
240900;257.3082;75;75
241200;257.3082;75;75
241500;257.3082;75;75
241800;257.8549;75;75
242100;257.8549;75;75
242401;257.8549;75;75
242700;257.8549;75;75
243000;258.4017;75;75
243300;258.4017;75;75
243600;258.4017;75;75
243900;258.9485;75;75
244200;258.9485;75;75
244500;258.9485;75;75
244800;259.4853;75;75
245100;259.4853;75;75
245400;259.4853;75;75
245699;259.4853;75;75
246000;260.0221;75;75
246300;260.0221;75;75
246600;260.0221;75;75
246900;260.5589;75;75
247200;260.5589;75;75
247500;260.5589;75;75
247800;260.5589;75;75
248101;261.0958;75;75
248400;261.0958;75;75
248700;261.0958;75;75
249000;261.6227;75;75
249300;261.6227;75;75
249600;261.6227;75;75
249900;262.1496;75;75
250200;262.1496;75;75
250500;262.1496;75;75
250800;262.1496;75;75
251100;262.6765;75;75
251400;262.6765;75;75
251700;262.6765;75;75
252000;263.1934;75;75
252299;263.1934;75;75
252600;263.1934;75;75
252900;263.7103;75;75
253201;263.7103;75;75
253500;263.7103;75;75
253800;263.7103;75;75
254100;264.2273;75;75
254400;264.2273;75;75
254700;264.2273;75;75
255001;264.7443;75;75
255300;264.7443;75;75
255600;264.7443;75;75
255900;265.2513;75;75
256200;265.2513;75;75
256500;265.2513;75;75
256800;265.2513;75;75
257101;265.7583;75;75
257400;265.7583;75;75
257700;265.7583;75;75
257999;266.2654;75;75
